"date","song","artist","index"
1998-09-05,"I Don t Want To Miss A Thing","Aerosmith",0
1998-09-12,"I Don't Want To Miss A Thing","Aerosmith",0
1998-10-03,"The First Night","Monica",0
1998-10-17,"One Week","Barenaked Ladies",522
1998-11-14,"Doo Wop (That Thing)","Lauryn Hill",0
1998-11-28,"Lately","Divine",0
1998-12-05,"I m Your Angel","R. Kelly",0
1999-01-16,"Have You Ever?","Brandy",0
1999-01-30,"...Baby One More Time","Britney Spears",0
1999-02-13,"Angel Of Mine","Monica",0
1999-03-13,"Believe","Cher",529
1999-04-10,"No Scrubs","TLC",524
1999-05-08,"Livin La Vida Loca","Ricky Martin",0
1999-06-12,"If You Had My Love","Jennifer Lopez",0
1999-07-17,"Bills, Bills, Bills","Destiny s Child",0
1999-07-24,"Wild Wild West","Will Smith Featuring Dru Hill",0
1999-07-31,"Genie In A Bottle","Christina Aguilera",541
1999-09-04,"Bailamos","Enrique Iglesias",0
1999-09-18,"Unpretty","TLC",535
1999-10-09,"Heartbreaker","Mariah Carey Featuring Jay-Z",0
1999-10-23,"Smooth","Santana Featuring Rob Thomas",533
2000-01-15,"What A Girl Wants","Christina Aguilera",0
2000-01-29,"I Knew I Loved You","Savage Garden",0
2000-02-19,"Thank God I Found You","Mariah Carey Featuring Joe",0
2000-03-04,"Amazed","Lonestar",0
2000-03-18,"Say My Name","Destiny s Child",558
2000-04-08,"Maria Maria","Santana Featuring The Product G",0
2000-06-17,"Try Again","Aaliyah",559
2000-06-24,"Be With You","Enrique Iglesias",0
2000-07-15,"Everything You Want","Vertical Horizon",0
2000-07-22,"Bent","matchbox twenty",0
2000-07-29,"It s Gonna Be Me","N Sync",0
2000-08-12,"Incomplete","Sisqo",0
2000-08-26,"Doesn t Really Matter","Janet",0
2000-09-16,"Music","Madonna",554
2000-10-14,"Come On Over Baby (All I Want Is You)","Christina Aguilera",0
2000-11-11,"With Arms Wide Open","Creed",0
2000-11-18,"Independent Women Part I","Destiny s Child",0
2001-02-03,"It Wasn't Me","Shaggy Featuring Ricardo RikRok Ducent",0
2001-02-17,"Ms. Jackson","OutKast",550
2001-02-24,"Stutter","Joe Featuring Mystikal",0
2001-03-24,"Butterfly","Crazy Town",0
2001-03-31,"Angel","Shaggy Featuring Rayvon",0
2001-04-14,"All For You","Janet",0
2001-06-02,"Lady Marmalade","Christina Aguilera, Lil' Kim, Mya & Pink",0
2001-07-07,"U Remind Me","Usher",0
2001-08-04,"Bootylicious","Destiny's Child",604
2001-08-18,"Fallin'","Alicia Keys",595
2001-09-08,"I'm Real","Jennifer Lopez Featuring Ja Rule",0
2001-11-03,"Family Affair","Mary J. Blige",599
2001-12-15,"U Got It Bad","Usher",0
2001-12-22,"How You Remind Me","Nickelback",631
2002-02-23,"Always On Time","Ja Rule Featuring Ashanti",0
2002-03-09,"Ain't It Funny","Jennifer Lopez Featuring Ja Rule",0
2002-04-20,"Foolish","Ashanti",0
2002-06-29,"Hot In Herre","Nelly",634
2002-08-17,"Dilemma","Nelly Featuring Kelly Rowland",0
2002-10-05,"A Moment Like This","Kelly Clarkson",0
2002-11-09,"Lose Yourself","Eminem",633
2003-02-01,"Bump, Bump, Bump","B2K & P. Diddy",0
2003-02-08,"All I Have","Jennifer Lopez Featuring LL Cool J",0
2003-03-08,"In Da Club","50 Cent",677
2003-05-10,"Get Busy","Sean Paul",692
2003-05-31,"21 Questions","50 Cent Featuring Nate Dogg",0
2003-06-28,"This Is The Night","Clay Aiken",0
2003-07-12,"Crazy In Love","Beyonce Featuring Jay-Z",674
2003-09-06,"Shake Ya Tailfeather","Nelly, P. Diddy & Murphy Lee",0
2003-10-04,"Baby Boy","Beyonce Featuring Sean Paul",0
2003-12-06,"Stand Up","Ludacris Featuring Shawnna",702
2003-12-13,"Hey Ya!","OutKast",673
2004-02-14,"The Way You Move","OutKast Featuring Sleepy Brown",685
2004-02-21,"Slow Jamz","Twista Featuring Kanye West & Jamie Foxx",742
2004-02-28,"Yeah!","Usher Featuring Lil Jon & Ludacris",715
2004-05-22,"Burn","Usher",0
2004-07-10,"I Believe","Fantasia",0
2004-07-24,"Confessions Part II","Usher",0
2004-08-07,"Slow Motion","Juvenile Featuring Soulja Slim",0
2004-08-21,"Lean Back","Terror Squad",731
2004-09-11,"Goodies","Ciara Featuring Petey Pablo",745
2004-10-30,"My Boo","Usher And Alicia Keys",0
2004-12-11,"Drop It Like It's Hot","Snoop Dogg Featuring Pharrell",719
2005-01-01,"Let Me Love You","Mario",0
2005-03-05,"Candy Shop","50 Cent Featuring Olivia",0
2005-05-07,"Hollaback Girl","Gwen Stefani",760
2005-06-04,"We Belong Together","Mariah Carey",773
